tenure,MonthlyCharges,TotalCharges,SeniorCitizen,Partner,Dependents,Contract,InternetService,PaymentMethod,PaperlessBilling,Churn
70,117.26255484528703,8306.005434299865,0,1,1,Month-to-month,DSL,Bank transfer (automatic),1,0
8,87.83379712794027,647.1257073817123,1,1,0,Month-to-month,No,Mailed check,1,0
0,47.37944706543275,36.359576517490076,0,0,0,Month-to-month,No,Credit card (automatic),0,0
7,85.20525405053618,617.4914569262108,0,1,0,Two year,DSL,Credit card (automatic),1,0
62,88.21567651969039,5536.443585121461,0,1,0,Month-to-month,DSL,Electronic check,1,0
10,55.17269846164606,545.5723410357535,0,1,1,Month-to-month,DSL,Mailed check,1,1
7,19.7713850609389,60.3824755050378,0,1,0,Two year,DSL,Credit card (automatic),1,0
34,88.31997847754869,3052.5065334756932,0,0,0,Month-to-month,No,Mailed check,1,0
34,20.17000952755416,673.289208181202,0,0,0,Two year,Fiber optic,Electronic check,0,0
32,81.11880780600711,2659.525006282825,0,0,0,Month-to-month,Fiber optic,Bank transfer (automatic),0,0
4,34.36164887425551,178.24504016260673,0,0,1,One year,No,Credit card (automatic),1,0
40,74.56035277480433,3032.2075906112045,0,0,0,Month-to-month,Fiber optic,Credit card (automatic),1,1
27,68.39130253806,1964.9892539938892,1,1,0,Month-to-month,Fiber optic,Mailed check,0,1
6,19.35136423061826,130.20808762850746,0,0,0,Month-to-month,DSL,Bank transfer (automatic),1,0
71,54.28658169951034,3926.4900541557986,0,1,1,Two year,Fiber optic,Credit card (automatic),0,1
11,78.10911673963028,838.9580074344476,0,0,0,Month-to-month,No,Bank transfer (automatic),0,1
33,102.86065518987797,3421.437191099257,0,1,1,Month-to-month,DSL,Mailed check,1,0
32,106.86421138365172,3394.541228298262,0,0,0,Two year,Fiber optic,Electronic check,0,0
47,66.38499700332233,3144.0568511090305,0,0,0,Month-to-month,No,Credit card (automatic),0,0
22,90.84224872994382,2017.2697469224358,0,1,1,One year,Fiber optic,Bank transfer (automatic),1,0
61,49.645457653345765,2925.3445896787875,0,1,0,One year,Fiber optic,Electronic check,0,0
36,52.21864057586574,1849.2846660483272,0,1,0,Month-to-month,No,Bank transfer (automatic),1,1
43,37.44635191823137,1621.7089177275661,0,0,0,Month-to-month,DSL,Mailed check,1,0
34,74.19481099932392,2409.7539248664643,0,0,0,Two year,Fiber optic,Electronic check,1,0
64,49.45641509273652,3160.4183473998783,0,1,0,Month-to-month,No,Credit card (automatic),1,0
46,26.437089643850506,1266.529638109104,0,0,0,Month-to-month,DSL,Credit card (automatic),0,1
2,86.50060866631787,238.01354149392102,0,1,0,One year,Fiber optic,Electronic check,1,0
0,88.77532076053981,0.0,0,0,0,Month-to-month,Fiber optic,Bank transfer (automatic),1,0
4,53.99924187790579,284.2172761890165,0,1,1,One year,DSL,Electronic check,1,0
13,25.672339945602282,394.1462449513096,0,1,0,Month-to-month,Fiber optic,Mailed check,1,0
26,60.62977174034259,1468.9795303869641,1,0,0,Two year,Fiber optic,Credit card (automatic),1,0
8,62.23354580502155,503.6579620893886,0,1,0,Month-to-month,No,Electronic check,0,0
14,84.8670884897893,1199.4606994176486,0,0,0,Month-to-month,Fiber optic,Credit card (automatic),1,0
41,49.54163912586834,2107.146965055239,0,0,0,Two year,No,Electronic check,1,0
50,86.25992797813055,4327.315646952781,0,0,1,Month-to-month,DSL,Bank transfer (automatic),1,0
62,105.14885417573883,6588.91551087621,0,1,1,Month-to-month,DSL,Credit card (automatic),0,0
51,41.74860423621998,2090.1397317773644,0,1,0,Two year,No,Electronic check,0,0
3,115.89195561198997,267.77340416602675,0,1,0,One year,No,Electronic check,1,0
22,56.636813713680695,1213.61799231987,1,0,0,Month-to-month,DSL,Mailed check,1,0
14,44.72586851470618,705.0115810399022,0,0,1,Month-to-month,Fiber optic,Credit card (automatic),1,1
42,60.151118251029054,2572.6429355435425,0,1,0,One year,Fiber optic,Electronic check,0,0
28,27.439747590385917,884.4360042128133,0,0,0,Month-to-month,Fiber optic,Mailed check,1,0
35,30.570590651211567,997.8042005218981,0,0,0,Two year,No,Electronic check,0,0
12,59.44340469683314,765.3869553466758,0,0,0,Month-to-month,Fiber optic,Credit card (automatic),1,1
31,94.24445219391,2959.3213279998813,0,1,0,Two year,DSL,Electronic check,0,0
70,108.03122395744909,7547.919840163288,0,1,1,Month-to-month,DSL,Credit card (automatic),0,1
58,84.4817990716271,4938.740725737508,1,1,0,Month-to-month,DSL,Credit card (automatic),0,1
27,28.52195552381697,777.0910396892324,1,0,0,Month-to-month,No,Mailed check,1,0
65,85.2019762180535,5561.143829950553,0,0,0,Month-to-month,Fiber optic,Electronic check,0,0
41,81.5427920702972,3377.281971432364,0,1,0,Month-to-month,No,Credit card (automatic),0,0
44,98.57639182933313,4386.366705253411,0,1,0,Month-to-month,No,Electronic check,1,0
61,100.52486666521808,6136.357449886324,0,1,1,Two year,DSL,Bank transfer (automatic),0,0
56,104.82030757789789,5958.804027092925,0,0,0,Month-to-month,No,Bank transfer (automatic),1,0
5,59.413151457909834,286.27949104479325,1,1,0,Two year,Fiber optic,Electronic check,1,0
27,87.78643953521443,2464.4217484851965,0,1,1,Month-to-month,DSL,Mailed check,1,1
27,44.82503589223107,1153.8837726681181,0,1,0,One year,Fiber optic,Bank transfer (automatic),1,1
43,117.93362799835043,5021.893027695105,1,0,0,Two year,No,Credit card (automatic),1,0
29,35.533424137686,984.1437867251026,1,1,0,Two year,Fiber optic,Electronic check,1,0
61,19.01144316608358,1207.5410722173824,0,0,1,Month-to-month,Fiber optic,Credit card (automatic),0,1
61,32.8808714518176,1965.4600825955133,0,1,0,One year,Fiber optic,Credit card (automatic),0,0
0,95.58722895441267,74.50626803017732,0,0,0,Month-to-month,Fiber optic,Bank transfer (automatic),1,1
26,62.67836765082115,1603.3138733777068,0,1,0,Month-to-month,No,Credit card (automatic),1,0
61,62.75002478104283,3847.715796556032,0,1,0,One year,No,Electronic check,1,0
2,113.50229196116685,259.00896019417047,0,0,1,Month-to-month,DSL,Mailed check,1,0
69,109.96349080280743,7536.693649238747,1,1,0,Month-to-month,DSL,Bank transfer (automatic),1,0
71,49.119473780400924,3417.94396656998,0,1,1,Month-to-month,Fiber optic,Bank transfer (automatic),0,0
26,38.905812878086614,1025.6952948319608,0,1,0,Month-to-month,DSL,Electronic check,0,0
8,102.84822099337397,808.9236864353686,0,1,0,Month-to-month,No,Mailed check,1,0
61,108.60190710443632,6649.638783764826,0,0,1,Two year,DSL,Mailed check,1,0
36,72.15969227984868,2530.466018109321,1,0,0,Month-to-month,No,Credit card (automatic),1,0
50,80.94237111171006,4029.280697190214,0,0,0,One year,Fiber optic,Mailed check,1,0
43,43.691428469229336,1869.6395420972665,0,0,0,One year,DSL,Electronic check,1,0
23,98.08026879785245,2133.972695528577,0,0,0,One year,Fiber optic,Mailed check,1,0
58,81.2122428449023,4760.082948552192,0,0,0,One year,DSL,Mailed check,1,0
31,68.35135112979967,2081.019792767985,1,0,1,One year,DSL,Credit card (automatic),1,0
51,24.01085560783958,1299.511703083448,0,0,1,Month-to-month,Fiber optic,Credit card (automatic),1,1
61,109.59349625111537,6650.5617354223305,0,1,1,Month-to-month,Fiber optic,Electronic check,1,0
57,79.5451420384406,4508.006759391466,0,1,1,Two year,Fiber optic,Mailed check,0,0
51,37.269109469296794,1838.6289770061126,1,0,0,Two year,Fiber optic,Mailed check,0,0
11,78.63861169830528,922.3553652357879,0,0,0,One year,DSL,Bank transfer (automatic),1,0
38,85.74633542399734,3281.0688385874087,0,0,0,Month-to-month,Fiber optic,Mailed check,0,0
1,70.57703366832254,140.5838192249479,0,1,1,Month-to-month,Fiber optic,Bank transfer (automatic),0,1
2,89.81017379560225,169.2528979192872,0,0,0,Month-to-month,DSL,Credit card (automatic),0,0
55,76.14539479286242,4185.910926268279,0,0,0,One year,Fiber optic,Credit card (automatic),0,0
58,112.77695820321482,6456.962914197943,0,0,0,One year,DSL,Credit card (automatic),0,0
1,23.369707859930685,0.0,1,0,0,Month-to-month,DSL,Bank transfer (automatic),1,0
1,28.62457084695605,37.14950358532052,0,1,0,One year,Fiber optic,Bank transfer (automatic),1,0
53,35.36716369543399,1893.8197177313218,0,0,0,Month-to-month,Fiber optic,Bank transfer (automatic),1,0
0,87.01710706043322,91.19687366526334,0,1,1,One year,Fiber optic,Mailed check,1,0
18,82.55958727498087,1393.525213137543,0,1,0,Month-to-month,Fiber optic,Credit card (automatic),1,1
1,107.2058860209694,118.67862356116329,0,1,1,One year,DSL,Bank transfer (automatic),1,0
52,91.28774528838984,4728.150891191406,0,0,0,Month-to-month,Fiber optic,Credit card (automatic),1,1
43,68.83554875645922,2963.7037761896604,0,1,1,Month-to-month,Fiber optic,Bank transfer (automatic),1,1
31,117.18317924636303,3637.814369202765,0,0,0,Month-to-month,DSL,Bank transfer (automatic),1,0
69,44.61079561692992,3068.585669455653,0,0,1,Two year,No,Credit card (automatic),1,0
31,101.3191659785454,3084.2387494282348,0,0,0,One year,DSL,Mailed check,1,0
67,60.67903721939194,3999.556634173952,0,0,0,Month-to-month,No,Electronic check,1,0
54,82.87351388757342,4461.92416068914,0,0,1,One year,DSL,Bank transfer (automatic),0,0
55,90.7268470452434,4918.945712637639,1,0,0,One year,Fiber optic,Credit card (automatic),0,0
16,81.37540871903363,1296.361325547794,0,0,0,One year,No,Credit card (automatic),1,0
37,32.05073031085933,1173.208549394849,0,0,0,Month-to-month,Fiber optic,Bank transfer (automatic),1,0
23,62.29510107479327,1310.285559634752,0,1,0,Month-to-month,DSL,Credit card (automatic),1,0
68,74.14383779331243,5138.461623753872,0,0,0,Month-to-month,Fiber optic,Electronic check,0,0
69,102.90437591785968,7104.264821639615,0,1,0,Month-to-month,DSL,Mailed check,1,0
10,62.36457487985723,501.77624178984536,0,0,0,One year,Fiber optic,Bank transfer (automatic),0,0
15,109.87473048042514,1660.47760381682,0,1,0,Month-to-month,Fiber optic,Credit card (automatic),1,1
58,62.037422302521065,3588.0010275786453,0,1,1,Month-to-month,Fiber optic,Credit card (automatic),0,0
69,72.87798592630116,4962.692744428747,0,0,0,Month-to-month,DSL,Credit card (automatic),0,0
2,97.6285682942801,210.72228362727316,0,1,0,Month-to-month,Fiber optic,Mailed check,1,0
19,76.30676844221436,1402.7209076425927,0,0,0,Two year,DSL,Credit card (automatic),1,0
58,114.02180723828246,6622.916451262005,0,1,0,Two year,Fiber optic,Bank transfer (automatic),1,0
35,84.03358305141276,2906.099923129988,0,0,0,Month-to-month,Fiber optic,Mailed check,0,1
18,70.2709454067601,1219.5980614476825,0,1,0,Two year,Fiber optic,Mailed check,0,0
66,20.359196778079585,1342.9302949514815,0,1,1,Month-to-month,Fiber optic,Bank transfer (automatic),1,1
18,59.37328975803298,987.6145667360704,0,0,1,One year,DSL,Credit card (automatic),1,0
19,47.92484192601604,906.4451353137989,0,1,0,Month-to-month,No,Bank transfer (automatic),0,0
70,92.81056678874893,6529.602364113074,0,0,0,Month-to-month,Fiber optic,Mailed check,0,1
51,38.82776751535458,2043.7466828198606,0,0,0,Two year,DSL,Credit card (automatic),1,0
32,38.52200872940718,1287.132690040737,1,1,1,Two year,No,Bank transfer (automatic),1,0
39,36.95190432373768,1508.7907944185358,0,1,1,Month-to-month,No,Electronic check,1,0
38,30.561561315623592,1138.6036286822157,0,1,0,Two year,DSL,Mailed check,0,0
0,49.10070036708874,0.0,0,0,0,One year,Fiber optic,Credit card (automatic),1,0
10,106.59221144434251,1106.689932523602,0,0,0,Month-to-month,Fiber optic,Electronic check,1,0
56,95.4928472305955,5321.7547778639355,0,0,0,Month-to-month,DSL,Bank transfer (automatic),1,0
49,91.52512163067935,4485.044073916299,0,0,0,Month-to-month,DSL,Credit card (automatic),0,0
22,97.73368056499626,2187.484322971687,0,1,0,One year,Fiber optic,Credit card (automatic),1,0
30,44.94178893295717,1449.3085565080744,0,0,0,Two year,DSL,Electronic check,1,0
41,106.74416907524878,4402.950957591102,0,0,0,Month-to-month,No,Electronic check,1,1
6,31.73033751416044,200.63717420749524,0,1,0,One year,DSL,Mailed check,0,0
15,51.634572671558196,718.4630458738545,0,1,1,One year,No,Electronic check,1,0
59,76.6748118967343,4582.281673085258,0,1,0,Month-to-month,No,Credit card (automatic),1,0
1,28.29050883420006,48.72265187360538,0,0,0,Month-to-month,Fiber optic,Credit card (automatic),1,1
0,91.01301877764249,0.0,1,1,1,Month-to-month,DSL,Bank transfer (automatic),1,0
47,56.724604820347494,2643.5355088493607,0,1,0,One year,Fiber optic,Mailed check,1,0
11,96.44056656084001,1040.5031011222395,0,0,0,Two year,Fiber optic,Bank transfer (automatic),0,0
68,67.28962855846027,4577.89300211421,1,0,0,Month-to-month,Fiber optic,Credit card (automatic),0,0
36,36.08745244253363,1226.1979376077038,1,0,0,Month-to-month,DSL,Bank transfer (automatic),1,1
31,91.47618113553443,2896.6627554375495,0,0,0,One year,No,Electronic check,1,0
8,43.21439558389436,397.4488345364276,1,1,1,Month-to-month,DSL,Bank transfer (automatic),1,0
18,67.08103012680428,1199.084124705454,0,0,0,Month-to-month,Fiber optic,Credit card (automatic),0,1
47,25.55332691569076,1180.7738908939577,0,1,0,Month-to-month,No,Electronic check,1,1
2,79.78666544120367,158.4144456431643,0,1,1,Month-to-month,Fiber optic,Credit card (automatic),0,1
19,84.58577662162773,1614.4578470902538,0,0,0,One year,DSL,Mailed check,1,0
23,55.86742099727836,1269.9458481331314,0,0,0,Month-to-month,DSL,Mailed check,1,1
53,113.44227803210738,6062.394988700837,0,0,0,Two year,Fiber optic,Electronic check,1,0
32,105.41689214820684,3302.1351401921906,0,0,0,Month-to-month,DSL,Mailed check,0,0
23,88.79409157399948,2006.667297705251,0,1,0,Month-to-month,DSL,Mailed check,1,1
71,89.36520744937427,6383.691828498776,1,0,1,Month-to-month,DSL,Mailed check,0,0
35,43.240171494215126,1529.6198294214728,0,0,0,Two year,Fiber optic,Mailed check,1,1
37,83.6815231088449,3062.2392925068425,0,1,0,Month-to-month,DSL,Credit card (automatic),1,1
24,37.820626523551965,927.7184599000987,0,1,1,Month-to-month,No,Electronic check,1,1
17,32.400322391982215,511.1574584093762,0,1,0,One year,Fiber optic,Electronic check,1,0
65,117.94678942025801,7651.035520777809,0,0,0,Month-to-month,Fiber optic,Credit card (automatic),0,0
53,80.23759314731743,4304.778384084947,0,1,1,Month-to-month,DSL,Bank transfer (automatic),0,0
34,61.098787265719054,2124.012945887707,0,1,1,Month-to-month,No,Bank transfer (automatic),0,0
60,46.81645228839513,2823.3989751919044,1,1,0,Two year,DSL,Mailed check,1,0
40,78.39204436622273,3083.1243227862465,0,0,1,Two year,DSL,Electronic check,0,0
32,22.959350822008613,715.8164687995371,0,1,0,Month-to-month,DSL,Electronic check,1,0
67,27.468099050479506,1845.1859185225953,0,0,1,One year,DSL,Electronic check,1,0
32,21.285669774039633,753.9125021725316,0,1,1,Month-to-month,Fiber optic,Bank transfer (automatic),1,1
13,67.91698332626618,793.8023115593251,0,1,0,One year,No,Mailed check,1,0
20,78.06066291871826,1517.6060560293722,0,1,0,Month-to-month,DSL,Electronic check,0,0
47,24.247976135782086,1196.0850479878668,0,1,0,Month-to-month,Fiber optic,Bank transfer (automatic),1,0
19,90.12244674989165,1780.334842137641,0,1,1,One year,Fiber optic,Credit card (automatic),0,0
7,41.03950715145644,283.79086319630505,0,1,1,Month-to-month,No,Electronic check,1,0
6,86.5201453769866,596.0409093230818,0,0,0,Month-to-month,DSL,Credit card (automatic),0,1
66,116.18971400352456,7631.8525665115485,1,0,1,Two year,DSL,Electronic check,0,0
16,87.11058700538511,1318.3074218829809,0,0,1,Two year,DSL,Bank transfer (automatic),1,0
32,106.31930529236085,3441.7292831395034,1,1,1,Month-to-month,Fiber optic,Bank transfer (automatic),1,0
47,112.81985067430674,5367.268227173026,0,0,1,One year,Fiber optic,Electronic check,1,1
58,66.67510483523155,3931.0575400425364,1,1,0,One year,Fiber optic,Mailed check,1,0
21,88.23249794197068,1809.7102264707553,0,0,0,Month-to-month,DSL,Mailed check,1,1
29,103.19692535558417,3002.6798284528913,0,1,1,Two year,Fiber optic,Bank transfer (automatic),0,0
37,53.66089128743861,2027.4438799832308,0,0,1,One year,DSL,Credit card (automatic),0,0
50,44.13973165603949,2222.035468463559,0,1,0,One year,Fiber optic,Credit card (automatic),1,0
53,112.65985727783386,6043.290271182503,0,1,0,Month-to-month,DSL,Electronic check,0,0
7,90.6303500368818,614.1601573981088,0,0,1,Month-to-month,Fiber optic,Credit card (automatic),0,0
26,39.96821333758263,1035.642756261073,0,1,1,Month-to-month,Fiber optic,Credit card (automatic),0,1
26,62.90833926761134,1647.4263440331697,0,0,0,Month-to-month,Fiber optic,Credit card (automatic),1,1
20,97.64517695378093,1994.5312460374287,1,0,0,Month-to-month,No,Bank transfer (automatic),0,0
29,72.70629909184422,2098.759687103392,0,0,1,Month-to-month,Fiber optic,Electronic check,0,0
27,82.99520981658891,2287.242372244571,0,0,1,Month-to-month,DSL,Electronic check,0,0
63,93.37682020450524,5962.9709082865775,0,1,1,Month-to-month,DSL,Electronic check,0,0
68,80.20091888089806,5427.758926280985,0,0,1,Month-to-month,No,Bank transfer (automatic),1,0
60,72.00793219221958,4312.24296254768,0,1,0,Month-to-month,No,Bank transfer (automatic),1,1
47,92.96142843877735,4417.575116211343,0,1,1,Month-to-month,No,Bank transfer (automatic),1,0
18,90.75630354322007,1729.989882484815,0,1,1,Month-to-month,Fiber optic,Bank transfer (automatic),0,1
3,80.98724001831789,274.7596843240097,0,0,0,Month-to-month,DSL,Mailed check,1,1
34,53.97894133819296,1795.97219199685,1,1,1,Two year,No,Credit card (automatic),0,0
63,58.58120922002716,3700.524794347867,0,1,1,One year,DSL,Electronic check,0,0
48,115.04385488840974,5570.114702231942,0,0,1,One year,Fiber optic,Bank transfer (automatic),1,0
16,29.238593229152585,427.1890632977977,0,1,0,Two year,Fiber optic,Electronic check,0,0
43,44.85049172528353,1874.6521340202266,0,1,0,Month-to-month,Fiber optic,Mailed check,0,0
29,67.24017592043357,1932.7159508647592,0,1,0,Month-to-month,Fiber optic,Bank transfer (automatic),1,1
45,101.67296861437859,4608.265265068966,1,1,0,Month-to-month,Fiber optic,Mailed check,0,0
5,34.36756637297279,103.37711957276133,0,1,0,Month-to-month,Fiber optic,Bank transfer (automatic),0,0
36,45.69546181246099,1610.3826858650168,0,0,0,Month-to-month,Fiber optic,Electronic check,0,0
23,24.579821779523897,579.0188951864167,0,0,0,Two year,DSL,Credit card (automatic),0,0
45,88.59852660508184,4041.4596349111234,1,0,1,Month-to-month,Fiber optic,Mailed check,1,0
52,41.82094354756161,2189.1996016279754,0,0,0,Two year,No,Credit card (automatic),1,0
59,56.86747506709505,3373.9152681552423,0,0,0,One year,Fiber optic,Mailed check,0,0
62,62.37014470296678,3917.1950575364285,0,1,0,One year,Fiber optic,Bank transfer (automatic),0,0
31,107.13139356064556,3400.9360909038282,0,0,0,Month-to-month,Fiber optic,Credit card (automatic),1,1
32,59.13302903312368,1966.5325234032314,0,1,1,Month-to-month,DSL,Electronic check,1,0
66,32.522501991524905,2044.4170516372449,0,1,0,Month-to-month,Fiber optic,Electronic check,0,0
17,70.4314938340121,1202.2382908015995,0,0,0,Month-to-month,DSL,Credit card (automatic),1,0
24,114.29579946486297,2788.7249803776153,0,0,0,Two year,Fiber optic,Electronic check,1,1
53,78.76856410508111,4259.723234120361,0,1,0,Month-to-month,Fiber optic,Electronic check,1,0
57,116.33872204605726,6663.356487184526,1,1,0,Month-to-month,DSL,Bank transfer (automatic),1,0
66,102.11073089388701,6696.34892410352,0,0,0,Two year,Fiber optic,Credit card (automatic),1,0
45,21.59657562134128,935.4952595385121,0,0,0,Month-to-month,No,Credit card (automatic),1,1
23,83.83995953770419,1893.3674813207256,0,1,0,One year,Fiber optic,Mailed check,0,0
31,46.676687755788365,1462.3532644919696,0,1,1,One year,No,Bank transfer (automatic),1,0
46,73.96168556447239,3378.2464333845073,1,0,0,Month-to-month,No,Electronic check,1,1
22,45.93451909312266,858.3263117950426,0,0,0,Two year,No,Mailed check,1,0
65,52.887041660529036,3378.7432572379657,0,0,0,Two year,No,Credit card (automatic),0,0
26,110.31687117541793,2846.0261944849094,0,1,0,Month-to-month,Fiber optic,Mailed check,1,1
1,38.664318489170526,0.0,0,1,0,Month-to-month,Fiber optic,Credit card (automatic),1,0
16,105.41091180258304,1625.8981164367885,0,1,0,Month-to-month,No,Electronic check,0,0
